p-value	FDR_BH	f-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.00042185511600628905	0.017033998244799398	-10.767242355540072	row_5896	326.0566	295.0	15.42	16.053160102190297	16.087504932448198	10.173250226871595	10.276016163374546	8.639929090302235
0.00042885976883844654	0.017160926064960048	-10.721735423894899	row_7055	431.2011	71.0	14.24	14.3137184723185	14.333987284551437	12.152799418459447	11.368551482650073	11.495587197350261
0.00042929145878574225	0.017160926064960048	-10.718961136314029	row_2042	364.0613	93.0	16.69	16.82857384080784	16.943874016304758	9.5814262417577	11.54376941121313	10.79730583540786
0.00043383183003017364	0.017196262362886773	-10.689990490704522	row_2260	451.0505	93.0	15.58	15.581624720598542	15.689905000657655	9.356941281886911	10.925353192755285	10.7243510662497
0.000434477172895951	0.017196262362886773	10.685903358256324	row_599	147.0633	244.0	13.15	13.66404750212542	12.193064574910043	18.030223822349154	17.758852406714485	17.602943586876332
0.0004385428801262545	0.017271676485760612	10.660326445574183	row_6638	718.9175	42.0	17.39	17.635423271531504	17.565761089105354	18.45878601846611	18.655555923478364	18.49924503653374
0.0004437394274494343	0.017390670208128567	-10.628061307550263	row_7195	698.928	43.0	19.27	19.3748649014033	19.07460185590024	17.50982686992142	17.54240673025424	17.071415983009725
0.00045740216275575607	0.017838684347474487	-10.545423090803773	row_7054	431.0955	94.0	14.78	15.382532003926471	15.312694808958932	11.458936815222467	10.276016163374546	10.390843550098106
0.0004613722169319425	0.01784742887142079	10.521984078487435	row_7894	398.3257	162.0	9.52	10.090857166063483	8.869536939942922	13.816028893865735	14.058662032941706	14.736863369948567
0.00046209102894110123	0.01784742887142079	10.517767040336967	row_5053	259.0644	58.0	18.76	19.029072288236016	18.789145494614722	19.82610350131545	20.016071604085628	19.958340419696963
0.0004662818251102998	0.01785051985218963	-10.49334222171995	row_2351	491.0325	44.0	21.22	21.596320476902218	21.235914305633457	19.30570654888772	19.057526465475963	18.665998794609536
0.0004666364789377902	0.01785051985218963	-10.491287752119106	row_4389	898.8455	41.0	21.03	21.24004929969956	21.052406644807053	20.17303480293394	20.16036872172579	19.958340419696963
0.00047158680998015746	0.01788891021624028	10.462812008216309	row_2677	707.2632	39.0	16.97	17.47824481100092	17.535176478967617	19.30570654888772	19.645021873010915	19.458079145469576
0.00047351725529715143	0.01788891021624028	10.451808007874046	row_1788	299.0829	161.0	14.08	14.753818161804135	14.599053905745134	16.75474109581059	17.191970873128128	17.071415983009725
0.00047435259109980483	0.01788891021624028	10.447063658059303	row_1819	304.2979	144.0	15.4	15.518753336386311	15.36366915918849	18.11185471684762	19.10906115034745	18.978662091001656
0.00048714356331416614	0.018216647427227662	-10.375687522173951	row_2330	483.1205	337.0	14.9	15.69688892498764	15.65932039051992	9.826318925253105	8.523836877743982	7.806160299923252
0.0004876000687212908	0.018216647427227662	-10.37318327977545	row_7318	502.1846	56.0	16.38	16.524695483782047	16.271012593274605	15.479258369272022	15.439791587497563	15.278813083694908
0.0004958044677947882	0.018437008000089915	-10.328667049598783	row_5111	559.0198	44.0	21.47	21.858284577786524	21.51117579687307	19.673045574130825	19.418269259576373	19.062038970039552
0.0005009321437890336	0.0185414467110802	-10.30130691505207	row_7089	500.1871	57.0	20.2	20.412242740905153	20.104283730537293	19.285298825263098	19.15028889824464	19.15583795895719
0.0005119592791952959	0.018768166832762088	10.243629605139237	row_7580	264.1495	37.0	18.35	18.410837010149052	18.61583270383423	19.407745167010802	19.583180251165132	19.416390705950622
0.0005137211099723373	0.018768166832762088	10.234557370614839	row_1552	252.0717	287.0	13.42	13.129640736321436	13.426643850465322	14.367037431730395	14.501860322836496	14.549265392113297
0.0005140998794715319	0.018768166832762088	10.232612011341766	row_7895	417.0959	297.0	9.31	10.447128343266138	10.541495627472393	14.081329300985757	14.357563205196332	14.257446315480651
0.0005282630417429841	0.01904462491247428	-10.161122307833988	row_1161	195.0786	55.0	19.75	20.25506428037457	19.992140160032267	18.38735898577995	18.47003105794101	18.238692289540307
0.0005338707139439609	0.01904462491247428	-10.133472080565953	row_2339	485.1107	330.0	14.79	15.948374461836574	15.985556231989085	10.173250226871595	10.276016163374546	8.994280826213306
0.0005340682024951223	0.01904462491247428	-10.132504889448414	row_5934	355.0609	44.0	22.01	22.466041291838117	21.888385988571788	19.90773439581392	19.655328809985214	19.31216960715325
0.0005346947834119244	0.01904462491247428	10.129439176115767	row_1347	219.0947	151.0	9.97	10.447128343266138	11.999362044037724	16.928206746619832	17.22289168405102	17.06099387312999
0.0005349051149026158	0.01904462491247428	-10.128411073645376	row_5975	409.0829	295.0	14.94	15.560667592527798	15.618540910336275	10.173250226871595	10.276016163374546	8.681617529821185
0.0005359650538219778	0.01904462491247428	-10.123237710969216	row_2625	696.9977	41.0	16.5	16.189381434650134	16.790950965616084	11.081393928167051	12.481700675874198	12.120913790134502
0.0005406516761050393	0.019089255127125924	-10.100514540207108	row_1667	277.0812	65.0	18.01	17.57255188731927	17.881802060528607	15.489462231084332	15.604702579086322	16.029204995035997
0.0005419963619584221	0.019089255127125924	-10.09403993776447	row_2501	627.0047	44.0	21.01	21.36579206812403	21.02182203466932	19.183260207140016	18.8926154738872	18.520089256293215
0.0005523889201915363	0.019334938619235967	10.044663839714655	row_7081	486.1088	161.0	13.77	13.42304052931186	13.48781307074079	14.94865755503198	15.120276541294341	14.80981813910673
0.0005538087484434067	0.019334938619235967	10.038007706652403	row_7917	617.1579	377.0	9.26	10.447128343266138	9.297721481871202	13.673174828493416	14.32664239427344	14.049004117885906
0.00056613629331893	0.019606618044900194	-9.981092836239673	row_7306	407.0738	106.0	13.7	13.402083401241114	13.548982291016259	9.71407644531771	8.626906247486955	8.139667816074844
