mz	rtime	p-value	FDR_BH
105.1108	592	0.2376702668729842	0.8024026159679822
105.9538	24	0.09694339895655608	0.8024026159679822
105.9539	523	0.2576276632564227	0.8024026159679822
106.0398	66	0.162567143611566	0.8024026159679822
106.0398	564	0.19017997992251232	0.8024026159679822
106.046	66	0.16911565639354745	0.8024026159679822
106.0502	120	0.22902384984094412	0.8024026159679822
106.0516	502	0.650403975303504	0.914080021288562
106.0655	483	0.4783114344280467	0.8723770688827583
106.0947	108	0.8803154984406067	0.9656195599086074
106.951	73	0.06160000807987237	0.8024026159679822
106.9993	68	0.1725285430151245	0.8024026159679822
107.0429	67	0.13160752741948573	0.8024026159679822
107.0495	511	0.8636122325216985	0.9606662904394035
107.0608	541	0.5338436632817714	0.8853074905962995
107.0707	285	0.3925468469027904	0.843524067510038
107.0859	12	0.5195457605305231	0.8810567432265923
108.0232	462	0.7084723225499876	0.9361804810797689
108.0812	491	0.3142977685844259	0.813535161403447
109.0228	467	0.12322279119696038	0.8024026159679822
109.0764	501	0.6471962100651749	0.914080021288562
109.522	67	0.6645647009941505	0.9198472063729154
110.0081	463	0.7034285896516617	0.933971093270271
110.0204	148	0.2340595521361549	0.8024026159679822
110.0717	136	0.5339981995167233	0.8853074905962995
110.5221	119	0.42507434210548356	0.856519895373741
110.5221	466	0.3239034524476556	0.8191359706696333
111.0395	455	0.4228317393754093	0.856519895373741
111.0444	210	0.6478581914299059	0.914080021288562
111.0556	283	0.30412421538713624	0.8130814130655022
111.0749	127	0.8219023744538309	0.9482448620223902
111.1172	581	0.7832023733424434	0.946079757269059
111.5194	251	0.3852266030410366	0.8402186538769066
111.5371	151	0.573048766331458	0.8957381744619255
111.5371	464	0.8526104097156186	0.9578802349710087
111.5412	452	0.1026138016635074	0.8024026159679822
111.5584	122	0.5830371292702737	0.8957381744619255
111.5584	496	0.43963653105859335	0.8616156577546835
111.9686	314	0.5783092506639234	0.8957381744619255
111.9849	330	0.18716415928338678	0.8024026159679822
112.0388	180	0.19655211122138844	0.8024026159679822
112.0477	168	0.2920459420210237	0.804942546664911
112.076	190	0.40242718030760116	0.8477869670205034
112.0872	84	0.9583290059248999	0.9849986443087098
112.0872	579	0.2662274073294798	0.8024026159679822
112.1124	21	0.14838954972175278	0.8024026159679822
112.896	100	0.5369894771706438	0.8854146015389159
112.9558	320	0.08290564443558048	0.8024026159679822
112.9669	22	0.2068570201367349	0.8024026159679822
112.9671	313	0.25440400892858944	0.8024026159679822
