p-value	FDR_BH	t-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.7775417310169411	0.9357093775972756	0.30222765898036824	row_4162	851.1242	39.0	14.89	13.967925859151217	14.242233454138235	18.7610179913437	18.667891845720536	14.744104066716703	14.31601812266885	14.96567248667988	14.153225216683278
0.7775729977923775	0.9357093775972756	-0.302183549427205	row_3705	801.3197	40.0	16.56	15.61306041270466	15.822438311254501	18.585133447674853	17.0391496041476	14.65052371650482	16.26495572881978	16.089128616878302	15.257968863935433
0.7776775806824541	0.9357093775972756	-0.3020360145035849	row_2816	724.4842	39.0	14.79	14.690946777591902	14.507300075331932	17.080343462952495	15.699533204274005	13.527559513962222	14.367037431730395	15.604702579086322	13.44452174486114
0.7777096703106812	0.9357093775972756	-0.3019907473249509	row_6550	278.1757	237.0	12.89	14.470896932849085	14.170869363816855	14.256419400713781	13.376888942622665	15.004049483971935	14.33642584629347	11.935433016236434	14.403355853796974
0.7780711173806859	0.9360033980527511	-0.3014809248411727	row_6948	286.5729	109.0	14.32	13.97840442318659	14.29320780436779	9.800677627769652	11.169895017651058	13.985063448331427	14.19357178092115	14.202959150581869	14.090692557404854
0.7782704746277513	0.9361023686849514	0.30119977166136386	row_3209	758.0009	39.0	15.91	13.328733452993509	15.292305068867108	17.568911639810402	16.61509836965524	14.286600132347496	15.856801256327438	13.852523293455757	15.73738591840335
0.7788091265399198	0.9366040827375247	-0.3004402572394453	row_677	153.0105	382.0	16.06	14.81668954601637	19.808632499205864	17.774110274090727	18.648616789607246	20.01579712865279	16.489440688690568	12.95581977669188	19.134993739197714
0.778921894449256	0.9366040827375247	0.30028127813266264	row_2835	725.9426	39.0	15.91	16.975273737303052	16.852120185891554	17.568911639810402	17.848701960905746	17.22918225567671	16.346586623318245	16.759079520207635	16.97761699409209
0.7792475672071191	0.9366054138305597	0.29982219989516573	row_1340	218.1049	54.0	16.38	17.300109222399595	16.50549460433057	14.657045305737267	14.494842197193433	16.906849938280228	16.81596426668444	16.8827627638992	16.74833057673787
0.7795244918978435	0.9366054138305597	0.29943189918320473	row_5340	112.9207	28.0	14.91	15.759760309199871	14.507300075331932	14.920872121240537	14.533392309420012	15.295188351297794	14.969065278656597	15.32641528078029	15.226702534296221
0.7797088258451736	0.9366054138305597	0.29917212780206426	row_7524	495.2557	44.0	17.38	17.656380399602252	17.62693030938082	17.334398914918605	16.518723089088795	17.47872985624173	17.285341910050633	17.398109612614075	18.26995861917952
